"datetime","tempmax","tempmin","humidity","precip","windspeed","AcresBurned","Cause","Fatalities","StructureDam","fire","StructureDest.","StructureDam.","FirePersonnelDeath","CivilDeath"
"2020-01-01",14.3,5.4,85.7,0,11.2,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-01-02",17,4.2,78.1,0,19,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-01-03",15,3.8,83,0,9,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-01-04",13.6,5.7,89.6,1.736,16.7,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-01-05",15.1,3.2,80.9,0,16.2,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-01-06",13.3,3,73.8,0,18.7,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-01-07",7.7,1.9,94.8,0,13.9,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-01-08",8.8,5.7,92.8,0,11.1,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-01-09",11.6,4.3,86.5,10.711,18,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-01-10",12.2,1.8,80.5,0,15.1,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-01-11",14.8,4.3,77.5,0.049,14.6,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-01-12",11.6,1.8,81.7,0,13.9,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-01-13",13.8,5.5,76.3,0,21,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-01-14",13.7,4.2,74.5,0.633,18.5,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-01-15",10.7,1,77.6,0,12.9,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-01-16",9.2,5.7,80.1,8.44,33.1,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-01-17",8.2,3.9,89.4,0,14.5,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-01-18",12,3.8,80.1,0,20.7,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-01-19",8.3,3.9,89.5,0,7.6,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-01-20",10.4,5.4,87.8,0,8.5,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-01-21",13.7,5.9,82,0.889,16.6,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-01-22",15.5,7.8,86.7,0,10,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-01-23",13.7,5.8,88.2,0,9,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-01-24",16.7,8.1,87.1,0,12.7,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-01-25",14.6,7.4,90.2,1.05,11.8,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-01-26",18.7,9.1,81.7,5.385,25.1,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-01-27",17.6,7.4,78.7,0,14.8,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-01-28",15.6,7.6,83.4,0,15.3,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-01-29",18.2,5.9,74.4,0,32.3,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-01-30",17.7,8.4,77.7,0,16.7,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-01-31",18.3,6.2,81.8,0,8.2,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-02-01",18.2,5.9,85.9,0,7.6,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-02-02",14.9,4.3,65.3,0,32.8,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-02-03",12.1,2.2,46.8,0,38.2,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-02-04",12.8,1.5,48.1,0,28.2,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-02-05",16.2,0.7,60.8,0,6.7,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-02-06",16.9,2.2,64.2,0,6.2,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-02-07",17.8,2.3,69.7,0,5.8,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-02-08",17.7,3.8,69.5,0,37.1,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-02-09",17.2,8.1,37.9,0,44,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-02-10",22.1,5.6,38.3,0,39.7,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-02-11",22.9,4,49.1,0,29.1,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-02-12",18.8,3.8,64.2,0,6.6,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-02-13",16.8,3.3,74.3,0,16.3,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-02-14",17.9,3.6,76.8,0,13.2,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-02-15",18.3,3.9,74.4,0,8.2,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-02-16",19.2,8.6,63.5,0,12.6,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-02-17",21.4,7.6,44.2,0,32.5,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-02-18",18.6,7.2,42.5,0,13.9,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-02-19",18.9,3.8,59.7,0,10.3,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-02-20",19.3,4.9,59.9,0,13.9,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-02-21",22.7,5.7,52.4,0,16.6,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-02-22",21.1,5.9,61.4,0,19.6,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-02-23",17,6.9,76,0,15.4,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-02-24",23.3,6.6,54.5,0,29.7,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-02-25",23.6,7.4,40.5,0,21.3,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-02-26",23.8,5.8,59.8,0,7.9,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-02-27",24.3,6.1,60.1,0,4.4,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-02-28",22.9,7.2,62.8,0,14.3,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-02-29",18.4,8.3,63.9,0,22.9,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-03-01",16.1,7.4,50,0,35.4,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-03-02",22.2,9,27.8,0,43.9,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-03-03",24.5,5.1,50.8,0,11.4,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-03-04",24.9,6.1,57.4,0,7.2,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-03-05",20.7,9.5,71,0,19.3,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-03-06",16.3,8.8,74.2,0,23.4,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-03-07",13.3,9.3,79.6,2.294,17,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-03-08",14.3,7,74.4,0,14.4,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-03-09",18.9,8.5,61.9,0,13.3,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-03-10",24.2,7.5,56.4,0,25.6,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-03-11",22.6,8.9,61.2,0,16.1,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-03-12",27.7,8.5,56.1,0,18.9,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-03-13",19.5,7.2,69.4,0,38.9,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-03-14",11.2,8.9,80,4.724,25.6,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-03-15",11.7,7.8,80.1,9.186,20.6,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-03-16",8.3,4.5,85.4,17.293,14.6,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-03-17",12.7,2.9,76.9,0,11.6,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-03-18",11.7,7.5,80.1,1.374,11.2,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-03-19",15.6,2,75.6,0,9.6,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-03-20",18,4.2,67.1,0,10.2,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-03-21",18.3,4.8,71.1,0,13.9,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-03-22",20.5,5.4,67.5,0,14.1,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-03-23",15.8,9.4,72.4,0,31.9,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-03-24",14.1,6.9,73.1,0.406,27,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-03-25",14.1,4.7,68.6,0.026,21.3,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-03-26",15.9,2.2,65.4,0,15.2,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-03-27",16.2,2.8,66,0,24.4,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-03-28",13.3,8.3,81.5,2.931,14.8,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-03-29",17.2,9.1,76,0.539,15,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-03-30",18.7,9.9,71.6,0,17.3,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-03-31",21.6,9.6,74.7,0,18,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-04-01",18.8,6.1,55.5,0,19,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-04-02",20,7,37.2,0,27,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-04-03",20,4.2,58.6,0,18.9,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-04-04",13.4,7.8,83.5,16.402,21.9,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-04-05",13.2,8.3,86.1,17.778,26,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-04-06",13.7,3.8,80.5,2.771,14,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-04-07",18.7,6.5,73.1,0,11.6,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-04-08",16.7,7.9,78.7,0,16.7,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-04-09",17.1,10.7,74.6,0.238,20.5,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-04-10",21.3,7.9,71.8,0,21.5,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-04-11",19.3,9.3,79.6,0,20.8,NA,NA,NA,NA,"No",NA,NA,NA,NA
