"datetime","tempmax","tempmin","humidity","precip","windspeed","AcresBurned","Cause","Fatalities","StructureDam","fire","StructureDest.","StructureDam.","FirePersonnelDeath","CivilDeath"
"2020-04-12",22.8,10.7,77.5,0,16.2,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-04-13",25.1,9.1,58.1,0,19.8,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-04-14",26.7,10.4,32.6,0,21.5,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-04-15",26.2,7.8,50.6,0,16,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-04-16",27,10.8,64.1,0,26.7,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-04-17",20.2,10.4,72.4,0,25.4,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-04-18",19.6,10.9,63.7,0,26.2,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-04-19",20,9.9,64.6,0,17.7,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-04-20",20,11.3,64.7,0,16.8,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-04-21",25.6,8.3,65.1,0,20.9,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-04-22",27.8,11.1,62,0,15.2,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-04-23",30.5,12.9,54.5,0,24.2,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-04-24",33.5,13.7,38.7,0,19.4,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-04-25",32,14,51.1,0,15.2,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-04-26",29.3,12.9,55.3,0,22.8,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-04-27",30.8,11.1,45.9,0,17.3,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-04-28",32.7,13.7,54.9,0,18.8,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-04-29",26.4,15.1,64.4,0,22.5,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-04-30",29.2,12.4,51.3,0,27.2,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-05-01",28.2,10.6,41.6,0,24.3,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-05-02",23.8,12.2,66.3,0,22,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-05-03",25.6,9.8,53.5,0,22.2,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-05-04",29,8.1,45.2,0,13.8,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-05-05",29.3,11.1,44.2,0,28.4,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-05-06",29.8,9.5,42.3,0,34.7,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-05-07",33.7,12.1,26.3,0,17.4,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-05-08",35.1,11.9,41.4,0,13.5,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-05-09",33,14.6,44.7,0,21.1,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-05-10",24.9,11.6,64,0,27.6,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-05-11",24.7,11.9,63.6,0.813,28.2,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-05-12",21.3,12.6,69.8,1.172,29.6,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-05-13",20.5,10.5,71,0,18.7,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-05-14",21.7,12.1,70.1,0,18,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-05-15",26.2,10.5,61.3,0,17.5,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-05-16",26.8,14.3,52.3,0,32.2,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-05-17",23.8,15.8,69.1,2.488,30.3,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-05-18",22.1,12.3,64.5,3.747,29.9,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-05-19",22.9,9.3,65.1,0,23.9,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-05-20",24.8,11.9,60.2,0,12.8,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-05-21",28.8,10.9,55.6,0,18.4,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-05-22",26.5,11.8,43.2,0,32.1,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-05-23",29.8,13.1,31.8,0,26,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-05-24",33.9,11.4,43.3,0,14.3,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-05-25",37,14.6,39.9,0,14.1,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-05-26",38.7,18.4,40.2,0,12,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-05-27",38.7,20.1,42.5,0,18.1,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-05-28",37.9,17.8,42.7,0,19.6,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-05-29",29.3,15,61.2,0,35.5,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-05-30",26.1,16.3,59.6,0,22.8,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-05-31",26,14.1,63.5,0,17,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-06-01",29.8,15.8,52.1,0,12.1,670,"EQUIPMENT USE",0,0,"Yes",NA,NA,NA,NA
"2020-06-02",35.9,15.5,47.1,0,12.6,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-06-03",38.3,17.6,39.8,0,13.4,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-06-04",37.6,17,39.4,0,19.4,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-06-05",25.3,14,55.2,0,37,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-06-06",25.4,12.3,51.4,0,32.8,1837,"FIREARMS",0,17,"Yes",NA,NA,NA,NA
"2020-06-07",23.5,10.7,41.3,0,12.7,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-06-08",28.3,12.6,34.8,0,29.2,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-06-09",32.8,11.4,39.3,0,14.9,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-06-10",35.5,15,43.1,0,17.8,1680,"VEHICLE",0,0,"Yes",NA,NA,NA,NA
"2020-06-10",35.5,15,43.1,0,17.8,300,"UNDETERMINED",0,0,"Yes",NA,NA,NA,NA
"2020-06-10",35.5,15,43.1,0,17.8,803,"UNDETERMINED",0,0,"Yes",NA,NA,NA,NA
"2020-06-11",34.7,16.5,49.4,0,24.5,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-06-12",23.6,14.6,58.1,0,25.9,5042,"EQUIPMENT USE",0,1,"Yes",NA,NA,NA,NA
"2020-06-13",25.3,13.3,56,0,17.3,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-06-14",29.7,12.2,51.6,0,16,696,"ELECTRICAL POWER",0,0,"Yes",NA,NA,NA,NA
"2020-06-15",30,16.7,54.9,0,29.4,300,"UNDETERMINED",0,0,"Yes",NA,NA,NA,NA
"2020-06-15",30,16.7,54.9,0,29.4,445,"UNDER INVESTIGATION",0,1,"Yes",NA,NA,NA,NA
"2020-06-16",27.8,11.8,50.6,0,17.3,813,"VEHICLE",0,0,"Yes",NA,NA,NA,NA
"2020-06-16",27.8,11.8,50.6,0,17.3,1455,"EQUIPMENT USE",0,4,"Yes",NA,NA,NA,NA
"2020-06-17",31.6,15,35.7,0,33.2,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-06-18",35.4,13.9,35.5,0,18,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-06-19",35.5,17.5,40.9,0,18.7,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-06-20",32.2,14.5,58.5,0,17.7,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-06-21",35.4,16.2,54.4,0,21.7,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-06-22",37.2,15.7,53.4,0,20.8,348,"ELECTRICAL POWER",0,0,"Yes",NA,NA,NA,NA
"2020-06-22",37.2,15.7,53.4,0,20.8,1050,"UNDER INVESTIGATION",0,0,"Yes",NA,NA,NA,NA
"2020-06-23",35.8,16.3,54.2,0,23.5,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-06-24",36.3,15.2,55.6,0,18.4,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-06-25",37.3,17,51.7,0,18.2,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-06-26",37.5,16.9,53,0,20.5,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-06-27",30.5,16.3,58.8,0,27.7,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-06-28",27.3,14.3,56.2,0,22.9,2192,"ELECTRICAL POWER",0,0,"Yes",NA,NA,NA,NA
"2020-06-29",31.4,15.2,35.2,0,31.1,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-06-30",34.1,15.3,40,0,17.7,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-07-01",34.2,15.6,49,0,23.8,4000,"EQUIPMENT USE",0,0,"Yes",NA,NA,NA,NA
"2020-07-02",30.7,13.3,56.8,0,25.2,500,"EQUIPMENT USE",0,0,"Yes",NA,NA,NA,NA
"2020-07-03",30.3,12.8,55.8,0,17.7,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-07-04",35.9,15.1,42.3,0,13.7,353,"PLAYING WITH FIRE",0,0,"Yes",NA,NA,NA,NA
"2020-07-04",35.9,15.1,42.3,0,13.7,583,"VEHICLE",0,1,"Yes",NA,NA,NA,NA
"2020-07-05",36.4,16.1,39.5,0,19.7,1525,"MISCELLANEOUS",0,0,"Yes",NA,NA,NA,NA
"2020-07-05",36.4,16.1,39.5,0,19.7,5513,"ELECTRICAL POWER",0,4,"Yes",NA,NA,NA,NA
"2020-07-06",32,16.2,43.5,0,27.1,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-07-07",33,13.6,45.7,0,16.9,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-07-08",35.5,15.5,44.6,0,22.6,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-07-09",36.5,15.1,45.8,0,17,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-07-10",37.2,17.7,39,0,18.2,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-07-11",39.2,17.9,35,0,16.4,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-07-12",39.1,17.6,35.1,0,14.7,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-07-13",33.6,17.7,49.8,0,21.9,29667,"STRUCTURE",0,7,"Yes",NA,NA,NA,NA
"2020-07-14",32.8,13.9,57.1,0,21,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-07-15",34,14.5,57.4,0,22.2,1485,"UNDER INVESTIGATION",0,1,"Yes",NA,NA,NA,NA
"2020-07-16",32,15.1,56.7,0,23.1,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-07-17",32.4,14.4,55.2,0,23.9,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-07-18",36.5,16.1,51,0,17.1,9564,"UNDER INVESTIGATION",0,2,"Yes",NA,NA,NA,NA
"2020-07-18",36.5,16.1,51,0,17.1,557,"VEHICLE",0,0,"Yes",NA,NA,NA,NA
"2020-07-19",33,15.7,53.3,0,23.4,333,"DEBRIS BURNING",0,0,"Yes",NA,NA,NA,NA
"2020-07-20",29.7,13.9,60.5,0,23.9,22614,"UNDETERMINED",0,18,"Yes",NA,NA,NA,NA
"2020-07-21",30.3,14.1,62.8,0,18.2,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-07-22",30.3,13.9,62.3,0,22.2,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-07-23",32.9,13.9,60.3,0,19.1,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-07-24",32.3,15.6,57.7,0,20.5,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-07-25",34.3,13.9,54.2,0,22,1040,"ARSON",0,0,"Yes",NA,NA,NA,NA
"2020-07-26",35.7,15.7,50.2,0,21.9,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-07-27",35.2,16.4,47.2,0,18.6,321,"UNDETERMINED",0,0,"Yes",NA,NA,NA,NA
"2020-07-27",35.2,16.4,47.2,0,18.6,788,"VEHICLE",0,0,"Yes",NA,NA,NA,NA
"2020-07-28",36.6,14.6,53,0,15.9,3222,"VEHICLE",0,8,"Yes",NA,NA,NA,NA
"2020-07-29",35.9,15,50.8,0,17.6,741,"SMOKING",0,0,"Yes",NA,NA,NA,NA
"2020-07-29",35.9,15,50.8,0,17.6,640,"ARSON",0,0,"Yes",NA,NA,NA,NA
"2020-07-30",35.1,14.4,51.3,0,18.2,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-07-31",34.5,13.9,52.6,0,17.5,33424,"VEHICLE",0,19,"Yes",NA,NA,NA,NA
"2020-08-01",35,15.1,51.1,0,16.9,2005,"STRUCTURE",0,5,"Yes",NA,NA,NA,NA
"2020-08-02",35.1,15.5,50.9,0,18.4,560,"UNDER INVESTIGATION",0,2,"Yes",NA,NA,NA,NA
"2020-08-03",36.1,16.8,46.7,0,19.8,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-08-04",33,16.1,58.8,0,22.6,322,"VEHICLE",0,0,"Yes",NA,NA,NA,NA
"2020-08-05",25.5,15.6,67.6,0,26.6,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-08-06",30.8,14.2,64.5,0,20.8,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-08-07",32.9,15.2,54.1,0,18.4,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-08-08",34.6,16.7,52,0,18.4,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-08-09",36.8,18,45.9,0,20.5,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-08-10",35.8,18,47,0,22.6,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-08-11",30.3,16.2,60.5,0,23,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-08-12",36.2,14.4,54.9,0,13.9,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-08-13",37.8,18.9,34.4,0,15,512,"FIREARMS",0,0,"Yes",NA,NA,NA,NA
"2020-08-14",40.5,22.3,32,0,16.3,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-08-15",42.2,22.7,34.8,0,14,2121,"LIGHTNING",1,0,"Yes",NA,NA,NA,NA
"2020-08-15",42.2,22.7,34.8,0,14,320,"LIGHTNING",0,0,"Yes",NA,NA,NA,NA
"2020-08-16",43,25.9,33.6,0.009,26,48088,"LIGHTNING",0,43,"Yes",NA,NA,NA,NA
"2020-08-16",43,25.9,33.6,0.009,26,86509,"LIGHTNING",1,1630,"Yes",NA,NA,NA,NA
"2020-08-16",43,25.9,33.6,0.009,26,396625,"LIGHTNING",0,251,"Yes",NA,NA,NA,NA
"2020-08-17",39.9,23,46.2,0.397,32.2,19609,"LIGHTNING",0,0,"Yes",NA,NA,NA,NA
"2020-08-17",39.9,23,46.2,0.397,32.2,363220,"LIGHTNING",5,1723,"Yes",NA,NA,NA,NA
"2020-08-17",39.9,23,46.2,0.397,32.2,143181,"LIGHTNING",0,61,"Yes",NA,NA,NA,NA
"2020-08-17",39.9,23,46.2,0.397,32.2,705,"LIGHTNING",0,21,"Yes",NA,NA,NA,NA
"2020-08-17",39.9,23,46.2,0.397,32.2,2189,"EQUIPMENT USE",0,0,"Yes",NA,NA,NA,NA
"2020-08-18",40.4,22.8,43.1,0,17.5,6901,"VEHICLE",0,80,"Yes",NA,NA,NA,NA
"2020-08-18",40.4,22.8,43.1,0,17.5,820,"VEHICLE",0,3,"Yes",NA,NA,NA,NA
"2020-08-18",40.4,22.8,43.1,0,17.5,1783,"EQUIPMENT USE",0,0,"Yes",NA,NA,NA,NA
"2020-08-19",37.7,21.5,33.9,0,11.4,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-08-20",31,17.8,43.3,0,10.8,2857,"EQUIPMENT USE",0,3,"Yes",NA,NA,NA,NA
"2020-08-21",33.4,17,58.1,0,11.6,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-08-22",36,18.5,52.2,0,13.1,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-08-23",36.1,19,42.9,0,21.5,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-08-24",33.6,21.8,47.2,0,16.1,NA,NA,NA,NA,"No",NA,NA,NA,NA
"2020-08-25",33.1,18.1,47.3,0,17.5,NA,NA,NA,NA,"No",NA,NA,NA,NA
