"datetime","tempmax","tempmin","humidity","precip","windspeed"
2001-01-01,14.3,0.7,89.2,0,11.2
2001-01-02,11.7,0.1,95.9,0,9.3
2001-01-03,15.6,0,85.2,0,7.6
2001-01-04,16.1,-0.6,79.6,0,14.7
2001-01-05,16.6,-1.6,81,0,9.4
2001-01-06,15,1.7,81.7,0,11
2001-01-07,11.7,1,84,0,7.6
2001-01-08,11.7,7.9,93,27.368,16.6
2001-01-09,11.1,3.1,89.3,0.297,22.3
2001-01-10,10.7,7.1,86.3,23.309,42.5
2001-01-11,11.1,7.2,79.3,3.496,37
2001-01-12,12.9,5.7,80.9,1.001,20.4
2001-01-13,12.9,6.1,79.3,0,16.5
2001-01-14,12.1,4.4,79.8,0,24
2001-01-15,13.3,3.8,52.9,0,37
2001-01-16,11.7,1.6,49.6,0,33.4
2001-01-17,11.1,-1.2,58.2,0,14.7
2001-01-18,11.2,-1.7,70,0,11
2001-01-19,13.8,3.4,72.1,0,18.6
2001-01-20,11.6,1.2,70.8,0,16.6
2001-01-21,13.3,-1.1,80.6,0,12.9
2001-01-22,17.1,2.8,72.2,0,12.9
2001-01-23,11.2,6.2,85.8,11.541,16.5
2001-01-24,12.1,4.3,82.7,0.011,16.6
2001-01-25,9.4,2.9,87.7,23.044,33.5
2001-01-26,11.1,4.3,87,0.026,24
2001-01-27,13.8,2.8,68,0,33.2
2001-01-28,11.7,0.7,80.9,0,16.5
2001-01-29,12.2,4.4,83.1,3.082,16.5
2001-01-30,11.1,1.7,68.3,0,24.1
2001-01-31,14.3,-0.6,71.5,0,12.9
2001-02-01,13.9,0.1,75.3,0,11.1
2001-02-02,15,2.1,74.4,0,12.9
2001-02-03,18.8,3.3,74.5,0,18.7
2001-02-04,20.1,5.1,78,0,9.3
2001-02-05,18.4,3.9,55.2,0,11.1
2001-02-06,12.2,5.1,66.2,0.297,27.7
2001-02-07,12.2,4.3,41.4,0,48.2
2001-02-08,12.1,0.7,45.1,0,27.6
2001-02-09,9.4,6.2,77.4,11.224,29.6
2001-02-10,10,5.6,83.5,7.546,20.6
2001-02-11,10.1,5.1,77.8,8.078,35.3
