"datetime","tempmax","tempmin","humidity","precip","windspeed"
2017-01-01,9.9,5.7,82.3,0,19.4
2017-01-02,9.1,5,84.6,4.828,21.5
2017-01-03,10.1,7.1,93,13.628,37.1
2017-01-04,11.7,8.4,97.5,15.984,37.1
2017-01-05,8.8,2.2,75.7,0,18
2017-01-06,8.1,-1.2,76.5,0.083,18.4
2017-01-07,14.3,4.2,96.4,27.932,31
2017-01-08,17,13.9,94.5,50.093,30.5
2017-01-09,13.9,10.5,89.6,4.735,23.8
2017-01-10,12.2,11.1,98.2,48.384,38.3
2017-01-11,12.4,7.2,86.5,4.019,23.8
2017-01-12,9.2,4.7,94.9,5.198,14.4
2017-01-13,13.4,2.7,82.5,0,16.9
2017-01-14,7.6,2.7,97.5,0,10.2
2017-01-15,9.1,2.9,92.7,0,10.9
2017-01-16,10,3.3,88.6,0,10.9
2017-01-17,6.8,0.7,98.2,0,14.2
2017-01-18,9.3,5.6,95.8,20.845,46.1
2017-01-19,13,7.9,88.9,6.888,20.4
2017-01-20,11.3,8.3,87.6,17.06,37
2017-01-21,11.7,7.3,87.1,4.9,26.7
2017-01-22,13.1,6.8,89.1,14.591,46.1
2017-01-23,11.1,5.7,87.3,1.121,15.4
2017-01-24,11.7,2.6,85.6,0,18.7
2017-01-25,11.6,0.9,87.9,0,8.7
2017-01-26,12.8,4.3,83.3,0,21.6
2017-01-27,14,2.1,75,0,10.3
2017-01-28,14.2,1.2,82.6,0,11.7
2017-01-29,14.8,0.7,85.7,0,7.2
2017-01-30,15.6,1,87.6,0,7.2
2017-01-31,14,1.4,89,0,9
2017-02-01,12.5,5,93,0,11.8
2017-02-02,16.7,8.1,81.9,5.347,27.4
2017-02-03,15.6,12.2,91.7,25.442,34.9
2017-02-04,16,10.7,90,0.3,19.4
2017-02-05,15.7,8.4,91.2,7.404,31.2
2017-02-06,13.8,11.7,97.9,24.427,28.6
2017-02-07,17.2,11.7,94.8,19.797,39.1
2017-02-08,17.2,13.8,98.9,9.19,19.4
2017-02-09,16.1,13.3,98.5,25.88,23.2
2017-02-10,16.7,10.7,87.1,1.111,14.9
2017-02-11,16.6,8.3,73.7,0,28.4
2017-02-12,17.2,5.2,68.2,0,23
2017-02-13,15.5,5.5,85.7,0,10.5
2017-02-14,19.1,5,84.2,0,10.8
2017-02-15,16.9,7.7,88.6,0,12.3
2017-02-16,17.3,10.6,78.2,2.999,26.7
2017-02-17,14.9,11.1,86.2,18.702,44.9
2017-02-18,14.9,8.9,87.7,6.317,22.4
2017-02-19,12.3,8.3,85.4,5.396,26.1
2017-02-20,13.8,11.1,96.7,41.254,34.1
2017-02-21,14.8,10,84.9,1.934,20.8
2017-02-22,13.2,3.5,77.4,0,26
2017-02-23,11.1,0.6,73.5,0,16.6
2017-02-24,11.1,0.6,74.5,0,13
2017-02-25,12.1,4.2,76.1,0,15.1
2017-02-26,13.9,0.7,74.9,0,25.8
2017-02-27,13.1,3.1,71.9,0,19.2
2017-02-28,14.3,1.1,70.4,0,15.5
2017-03-01,17.1,1.3,72.2,0,11.5
2017-03-02,18.3,2.6,71,0,9.3
2017-03-03,17.8,3.8,75.8,0,10.7
2017-03-04,16,8.6,79.6,2.517,27.2
2017-03-05,10,5.7,76.1,1.987,33.8
2017-03-06,11.7,5.6,80.6,0.774,22
2017-03-07,14.2,2.5,81.8,0,11.4
2017-03-08,19.3,4.1,78.8,0,14.7
2017-03-09,22,5.5,79.8,0,8.4
2017-03-10,21.7,10.8,83.8,0,13.9
2017-03-11,23.5,7.4,80.7,0,9.2
2017-03-12,24.3,9.9,68.8,0,16
2017-03-13,24.2,7.1,71,0,12.6
2017-03-14,25.9,9.1,75,0,9.2
2017-03-15,20.4,12.9,76.6,0,20.5
2017-03-16,22.1,10.7,79.2,0,11.9
2017-03-17,23.9,7.2,72.1,0,9.9
2017-03-18,19.7,11.6,66.5,0,16.7
2017-03-19,21.5,12,77.8,0,10.8
2017-03-20,18.4,11.7,79.8,6.098,18.2
2017-03-21,18.6,11.9,83.3,24.541,28.6
2017-03-22,15.8,8.7,84,15.81,20.7
2017-03-23,16.7,4.5,82.7,0,16.8
2017-03-24,12.8,10.7,86.9,6.109,22
2017-03-25,17.3,10.1,81.6,0,15.1
2017-03-26,16.7,8.9,81.8,0.95,18.7
2017-03-27,18.3,7.3,75.4,0,21.8
2017-03-28,22.1,10.4,54.8,0,38.7
2017-03-29,24.3,8.5,66.3,0,15
2017-03-30,18.9,12.9,52.9,0,35.2
2017-03-31,22.1,9.9,40,0,46.8
2017-04-01,24.2,8.2,53.6,0,19.5
2017-04-02,26.2,9.6,61.2,0,24.6
2017-04-03,23.3,10.6,42.9,0,31.7
2017-04-04,23,11.1,62.4,0,12.6
2017-04-05,23,11.3,49.2,0,14.4
2017-04-06,15.9,11.6,65.8,18.73,28.4
2017-04-07,16,10.2,90,18.245,27.3
2017-04-08,13.9,6.6,83.7,11.926,18.7
2017-04-09,16.1,3.2,75.9,0,14.2
2017-04-10,19.3,5.3,71.4,0,10.6
2017-04-11,19.3,11.7,77.5,0,26.8
2017-04-12,18.7,10.2,81.6,1.223,28.3
2017-04-13,16.1,8.5,79.7,7.3,36.1
2017-04-14,17.7,4.4,65,0.243,25.3
2017-04-15,20,5.5,63.8,0,11.1
2017-04-16,14.4,8.4,89.6,7.688,20.6
2017-04-17,16.7,12.2,94.8,3.693,10.4
2017-04-18,20.5,12.2,81.1,1.094,16
2017-04-19,19.9,8.3,75.7,0.547,20.3
2017-04-20,21,10.3,67.8,2.192,22.6
2017-04-21,25.3,9.9,58.9,0,17.6
2017-04-22,20.8,10.2,65.9,0,16.6
2017-04-23,21.3,9.3,72.7,0,19.7
2017-04-24,18.3,11.7,76.8,0,25.1
2017-04-25,21.1,9.9,73.5,0,18.5
2017-04-26,19.8,13.4,84.9,0,25.4
2017-04-27,23.8,10.9,68.8,0,22.6
2017-04-28,22.8,11.7,40.4,0,41.6
2017-04-29,27,10,41.6,0,24.3
2017-04-30,28.2,9.6,55.7,0,12.9
2017-05-01,31.5,14.6,47,0,31.1
2017-05-02,32.7,18.9,43,0,30
2017-05-03,33.7,17.9,50.8,0,14
2017-05-04,30.7,16.4,62.9,0,22.6
2017-05-05,25.8,11.8,71.9,0,26.9
2017-05-06,20.4,9.3,64.6,0,17
2017-05-07,22.9,13.9,49.4,0,24.3
2017-05-08,30,11.6,55.3,0,14.8
2017-05-09,30.7,11.7,57.1,0,16
2017-05-10,21,11.4,69.7,0,29.2
2017-05-11,21.9,10.6,71.3,0,24.4
2017-05-12,21.9,8.7,53.1,0,19.9
2017-05-13,21.7,6.6,52.8,0,20
2017-05-14,22.6,7.7,60.5,0,21
2017-05-15,25,8,62.9,0,26.9
2017-05-16,19.2,10.5,71.7,0,25.2
2017-05-17,24.8,8.3,58.4,0,25.6
2017-05-18,29.8,9.8,47.4,0,27.2
2017-05-19,32.2,11.2,46.8,0,11.8
2017-05-20,33.7,13.1,46.5,0,13.3
2017-05-21,34.8,14.8,45.4,0,12.6
2017-05-22,36.4,15.7,47.6,0,15.4
2017-05-23,36.5,15.7,53.5,0,18.4
2017-05-24,25.1,13.3,68.2,0,25.4
2017-05-25,21.7,12.2,70,0,35.4
2017-05-26,21.1,11.9,66,0,22.3
2017-05-27,25.7,9.6,66.2,0,19.5
2017-05-28,29.3,9.7,68.1,0,20.5
2017-05-29,27.6,12.9,71.7,0,23.2
2017-05-30,24.3,11.7,70.6,0,19.5
2017-05-31,27,13.4,71.2,1.555,24.3
2017-06-01,29.1,13.8,65.3,0,19.6
2017-06-02,32.7,14.2,57,0,15.2
2017-06-03,31.1,15.6,55.4,0,21
2017-06-04,30,13.7,53.6,0,23.5
2017-06-05,33.3,11,50.8,0,23
2017-06-06,31.7,14.3,50.2,0,18
2017-06-07,25.6,13.3,63.2,0,21.7
2017-06-08,21.5,12.7,71.8,3.091,17.9
2017-06-09,24.3,13.4,68.9,0,30.6
2017-06-10,24.2,10,57.8,0,23.2
2017-06-11,19,9.1,66.8,0.307,20.4
2017-06-12,23.2,10,63.5,0,18.8
2017-06-13,28.7,11,58.9,0,17.4
2017-06-14,32.3,14.2,53,0,16.8
2017-06-15,34.4,15,48.4,0,14.3
2017-06-16,37.2,19,50.7,0,22.3
2017-06-17,38.1,20.2,46,0,25.1
2017-06-18,41.1,23.7,37.9,0,17.7
2017-06-19,40.3,23.9,42.6,0,21.6
2017-06-20,39.3,21.5,48,0,20.5
2017-06-21,40.6,18.2,49.1,0,16
2017-06-22,41.1,22.2,41.7,0,18.7
2017-06-23,36.6,19.6,50.9,0,16.3
2017-06-24,34.2,15.8,60.4,0,21.3
2017-06-25,30.4,15.1,64.2,0,22.6
2017-06-26,28.2,13.9,65,0,29.9
2017-06-27,29.1,13.8,67.9,0,25.3
2017-06-28,31.4,13.3,65.4,0,24.1
2017-06-29,33,13.9,60,0,20.1
2017-06-30,32.4,13.8,61.3,0,22.3
2017-07-01,30.8,13.8,59.8,0,19.4
2017-07-02,33.1,13.9,60.5,0,20.5
2017-07-03,32.6,14.7,52.1,0,23.9
2017-07-04,33.6,15.7,47.3,0,21
2017-07-05,32.5,13.7,54.3,0,16.6
2017-07-06,37.9,16.2,45.3,0,15.4
2017-07-07,42.2,18.6,35.3,0,23
2017-07-08,38.9,18.9,34.3,0,20.8
2017-07-09,37.9,17.7,39.1,0,19.6
2017-07-10,35.1,17.1,49.8,0,20.8
2017-07-11,32.4,15.9,51.4,0,23.3
2017-07-12,33.5,15.4,51.6,0,18.1
2017-07-13,33.4,16.6,51.2,0,17.6
2017-07-14,34.6,15.8,50.4,0,17.1
2017-07-15,37.6,17.1,47.7,0,12.7
2017-07-16,39.3,19.5,39.8,0,15.6
2017-07-17,37.4,19.5,35,0,20.3
2017-07-18,31.1,16.6,42.9,0,24.8
2017-07-19,33.8,14,54,0,21.9
2017-07-20,33.1,15.7,55.2,0,22.3
2017-07-21,34.9,16.1,51.3,0,20.5
2017-07-22,37.2,16.1,49,0,13
2017-07-23,37.9,21,41.9,0,23.1
2017-07-24,31.6,16.9,48,0,23.1
2017-07-25,33,14.5,55.7,0,18.8
2017-07-26,34.6,15.1,53.2,0,17.2
2017-07-27,37.2,16.7,46.7,0,18.2
2017-07-28,36,19.7,45.9,0,21.3
2017-07-29,33.9,15,53.9,0,15.4
2017-07-30,35.3,14.1,53.7,0,16.4
2017-07-31,36.3,15.3,52.5,0,17.7
2017-08-01,38.5,16.4,46.1,0,17.2
2017-08-02,37,21,42.2,0,25.1
2017-08-03,36.3,22.1,38.5,0,19.1
2017-08-04,31.3,22.4,44.8,0,21.4
2017-08-05,32.6,18.7,57.3,0,17.7
2017-08-06,30.4,15.2,64.2,0,20
2017-08-07,31.6,15.7,64.8,0,19.9
2017-08-08,33,15.1,67.2,0,21.8
2017-08-09,30.9,14.9,70.4,0,24.3
2017-08-10,33.5,15,68,0,18.2
2017-08-11,35,15.7,62.7,0,16.2
2017-08-12,33.6,17.2,58.2,0,19.5
2017-08-13,30.8,15.5,60.8,0,23.6
2017-08-14,25.4,15.7,73.1,0,25.6
2017-08-15,27.3,13.6,70.5,0,20.7
2017-08-16,30.1,13.8,67,0,16.4
2017-08-17,32.5,15.8,62.9,0,16
2017-08-18,33.6,15.2,63.6,0,16.1
2017-08-19,32.1,15.2,65.7,0,19.8
2017-08-20,30.4,15.6,67,0,22.3
2017-08-21,27.6,16.7,68.5,0,24.6
2017-08-22,33.3,16,61.1,0,18.4
2017-08-23,34.7,15.9,60.1,0,19.7
2017-08-24,31,15.6,63,0,19.6
2017-08-25,34.7,13.7,57.1,0,11.8
2017-08-26,40.5,15.8,48.4,0,14.8
2017-08-27,42.1,19.7,40,0,14.5
2017-08-28,42.6,18.5,41.4,0,14.2
2017-08-29,35.4,18.1,51.4,0,16.6
2017-08-30,34.6,15.1,53,0,14.8
2017-08-31,38.1,13.3,49,0,14.5
2017-09-01,42.1,19.6,38.6,0,24.1
2017-09-02,41.7,20.4,42.2,0,12.2
2017-09-03,38.7,21.9,42.8,0,15.1
2017-09-04,33.4,22.5,47.8,0,25.9
2017-09-05,32.9,21.2,61.7,0,18.3
2017-09-06,33,19.6,59.7,0,22.9
2017-09-07,24.3,18.4,72.1,0,21.5
2017-09-08,30.5,15.2,72,0,15.1
2017-09-09,33.8,16.2,65.2,0,12.3
2017-09-10,36.5,17.6,52.8,0,13
2017-09-11,35.8,20.1,49.3,0,19.1
2017-09-12,33.5,20.8,54.1,0,18.7
2017-09-13,25.7,18,73.7,0,26.2
2017-09-14,25,16.6,69,0,23.5
2017-09-15,28.8,12.2,63.3,0,16.3
2017-09-16,29.8,14.5,61.3,0,14.8
2017-09-17,28.9,13.9,61.3,0,18.4
2017-09-18,27.2,15.6,69.4,0,27.7
2017-09-19,26.4,11.2,58.1,0,20.2
2017-09-20,25.6,13.9,64.2,0,28.4
2017-09-21,22.4,10,55.7,0,18.1
2017-09-22,23.7,11.2,56.9,0,17
2017-09-23,26.6,11.8,38.9,0,24.4
2017-09-24,28.3,8.8,39.8,0,15.5
2017-09-25,30.6,9.3,44.9,0,16.5
2017-09-26,33.7,11.4,40.4,0,21.7
2017-09-27,32.6,12.3,41,0,14.7
2017-09-28,31.8,12.9,46.3,0,11.2
2017-09-29,27.9,14.6,57.2,0,17.6
2017-09-30,28.9,13.3,66.5,0,16.3
2017-10-01,27.8,14.9,34.1,0,35.4
2017-10-02,25.5,12.2,29.9,0,37
2017-10-03,26.5,6,40.1,0,21.5
2017-10-04,26.7,8,45.3,0,15.1
2017-10-05,28.3,7.7,49.5,0,20
2017-10-06,29.6,8.4,46,0,10
2017-10-07,29.3,10,46,0,10.2
2017-10-08,26.6,11.9,40,0,39.9
2017-10-09,27.2,14.2,23.3,0,36.8
2017-10-10,27.6,8.6,43.1,0,11.7
2017-10-11,24.2,10.5,45.1,0,26.2
2017-10-12,23.8,11,30.9,0,33.5
2017-10-13,25.6,5.7,46.6,0,16
2017-10-14,25,11.6,35.8,0,31.9
2017-10-15,27.5,6.8,52.1,0,9.4
2017-10-16,28.2,7.3,54,0,12.2
2017-10-17,27.1,8.8,51.3,0,11
2017-10-18,26.8,7.3,56.4,0,15.8
2017-10-19,21,11.3,78.5,0.009,26.8
2017-10-20,17.2,9.1,78.9,4.247,27.1
2017-10-21,21.1,6.3,74.2,0,16.8
2017-10-22,23.9,7.1,68.7,0,22.4
2017-10-23,28.3,9.8,67.6,0,7.1
2017-10-24,30.6,10.7,67.4,0,10.2
2017-10-25,30.6,12,64.9,0,12.3
2017-10-26,30.4,10.9,66.6,0,8
2017-10-27,29.8,11.1,64.7,0,13.8
2017-10-28,29.9,10.6,64.4,0,6.7
2017-10-29,26.7,9.5,73.4,0,14.5
2017-10-30,19.2,11.1,76.7,0,22.4
2017-10-31,19.9,6.7,77.4,0,14.8
2017-11-01,20,8.1,74.2,0,12
2017-11-02,17.9,10.1,74.6,0,14.7
2017-11-03,18.8,13.4,74,0.144,16.3
2017-11-04,17.6,9.2,74.3,2.247,21.6
2017-11-05,15.6,6.1,70,0,13.2
2017-11-06,17.2,5.6,73.7,0,10.2
2017-11-07,18.3,3.9,76.1,0,13
2017-11-08,16.7,6.8,73.9,1.404,15.1
2017-11-09,17.9,12.5,89.4,7.33,17.3
2017-11-10,18.3,11.3,90.1,0.228,19.3
2017-11-11,17.7,6.7,88.6,0,9.4
2017-11-12,18.2,8.3,83.4,0,10.2
2017-11-13,19.3,10.5,81.8,0.139,16
2017-11-14,18.3,9.1,75.8,0,11.2
2017-11-15,14.3,10.7,89.7,9.943,20.1
2017-11-16,14.3,12.8,99.3,20.687,14.5
2017-11-17,16,7.9,76.6,2.535,23
2017-11-18,16,3.5,72.1,0,14.7
2017-11-19,15.9,3.2,81.6,0,7.5
2017-11-20,15.4,11.6,87,0.288,17.6
2017-11-21,18.1,10.1,92.3,0,16.2
2017-11-22,19.1,8.8,93.4,0,15.5
2017-11-23,17.1,10.4,96.7,0,8
2017-11-24,19.6,10.4,91.3,0,13.8
2017-11-25,17.3,11.3,95.9,0,10.5
2017-11-26,15.8,13.1,94.4,2.823,17.5
2017-11-27,14.8,6.9,83.4,2.384,25.4
2017-11-28,16.5,4,83.8,0,13.8
2017-11-29,15.3,4.2,84.1,0,11.5
2017-11-30,16.7,3.5,86.1,0,7
2017-12-01,16.1,2.7,85.7,0,7.9
2017-12-02,14.7,3.3,87.7,0,15
2017-12-03,14.3,6.3,67.7,0.591,21.9
2017-12-04,15.5,5.7,48.3,0,42.8
2017-12-05,16.3,4.3,51.3,0,22.6
