"datetime","tempmax","tempmin","humidity","precip","windspeed"
2010-01-01,13.1,8.9,85,2.338,13
2010-01-02,14.1,7,90.3,0.054,19.5
2010-01-03,10.7,3.8,92.7,0.054,5.4
2010-01-04,11.8,5.8,84.4,0,10.1
2010-01-05,8.8,4.3,92.4,0.025,9.7
2010-01-06,8.8,6.8,86,0,9.4
2010-01-07,8.9,6.9,89.6,0,8.6
2010-01-08,10.5,4.8,89.4,1.3,14.4
2010-01-09,9.8,7,92.3,0,8.6
2010-01-10,9.1,7,93.2,0.054,7.7
2010-01-11,9.1,6.8,92.5,0,9.7
2010-01-12,16.8,6.9,82.1,7.735,16.9
2010-01-13,16.8,8.1,80.3,15.726,22.8
2010-01-14,14.8,4.8,84.6,0.054,16.2
2010-01-15,12.7,4.8,86.1,0,11.2
2010-01-16,10.8,4.8,92.4,0.081,13.8
2010-01-17,11.7,9.1,88.9,3.581,28
2010-01-18,13.8,10.1,79.5,14.082,39.3
2010-01-19,11.7,7.7,79.9,22.963,44.8
2010-01-20,11.7,8.1,80.4,24.223,53
2010-01-21,9.1,6,84.8,16.858,27.3
2010-01-22,8,4.1,86.2,0.764,18.4
2010-01-23,12.8,4.1,83.5,3.093,20.5
2010-01-24,10.5,3.7,80.8,0.414,11.6
2010-01-25,11.6,7.9,83.4,10.206,20.1
2010-01-26,10.8,8.6,86.7,1.242,20.8
2010-01-27,12.7,1.2,87.3,0,14.8
2010-01-28,13.1,3.4,85.6,0.054,7.9
2010-01-29,13.7,7,86.1,0.764,16.9
2010-01-30,15.7,6.9,79.2,0,10.5
2010-01-31,14.1,3.1,82.6,0.054,7.6
2010-02-01,14.7,7.2,81.5,0,17.4
2010-02-02,12.7,6.3,87.3,0.737,13
2010-02-03,15.9,6,81.2,0,10.5
2010-02-04,13.9,9.1,82.1,10.335,35.5
2010-02-05,16,10.8,79.8,4.699,27.6
2010-02-06,12.9,8.1,83.4,4.025,23.1
2010-02-07,14.3,7.1,83.1,0,15.3
2010-02-08,13.3,6,83.7,0.99,15.8
2010-02-09,12.2,6.8,84.9,6.211,19.7
2010-02-10,13.8,4.1,83.3,0,14.3
2010-02-11,15,8.9,76.8,0,17.9
2010-02-12,16.9,10.7,75.6,0,16.9
2010-02-13,16.9,6.6,84.3,0.3,12.3
2010-02-14,17.7,5.7,87,0.027,11.2
2010-02-15,19,7.9,78.8,0,10.5
2010-02-16,19.1,8.1,81.9,0.054,10.5
2010-02-17,19.8,6.8,83.9,0.05,8.2
2010-02-18,18.9,7.8,86.9,0.054,13.8
2010-02-19,14.1,8.1,83.4,0,17.7
2010-02-20,13.3,6.4,82.8,0,21.6
2010-02-21,12,6,80.2,0,18
2010-02-22,15.8,4.1,68.7,0,22.6
2010-02-23,10.8,7.9,82.2,16.209,40.6
2010-02-24,14.1,9.8,83.1,0.6,33.5
2010-02-25,14.8,6.9,84.8,0,13.5
2010-02-26,14.8,8.1,81.6,9.568,31.5
2010-02-27,15.5,7.1,84.8,6.73,17.7
2010-02-28,16.9,3.1,79.8,0.054,9.7
2010-03-01,16.8,6.6,80.6,0,15.8
2010-03-02,13.9,9.3,83.7,28.759,18.4
2010-03-03,12.9,7,84.8,21.945,19.3
2010-03-04,13.6,3.9,78.3,0,11.2
2010-03-05,13.9,3.1,77.3,0,14.4
2010-03-06,17.9,8.1,73.5,0,15.3
2010-03-07,18.8,4.1,76.2,0.054,21
2010-03-08,14.1,5.5,70.4,0,33.6
2010-03-09,12.9,2,69.6,0.39,17.3
2010-03-10,13.1,4.1,71.3,1.42,20
2010-03-11,15.8,2.2,68.2,0,13.3
2010-03-12,11.8,6.4,80.7,9.356,28
2010-03-13,13.8,1,66.4,0,29.9
2010-03-14,17,3.8,54.6,0,18.6
2010-03-15,20.8,4.1,68.7,0,10.8
2010-03-16,22,7.7,70.8,0,10.3
2010-03-17,23.3,11,66.4,0,10.6
2010-03-18,23.9,6.9,58.9,0,37.4
2010-03-19,24.1,7.9,44.7,0,20.6
2010-03-20,20.8,7.9,66.2,0,16.2
2010-03-21,21.8,8.3,71.2,0,14.3
2010-03-22,20.7,6.9,68.8,0,23.8
2010-03-23,22.2,9.8,45.3,0,23
2010-03-24,20.5,8.1,66.6,0.027,34.7
2010-03-25,16.6,8.9,72.3,0.728,20.8
2010-03-26,18.1,3.8,64.8,0,12.3
2010-03-27,20.7,6.6,61.5,0,10
2010-03-28,22.7,8.8,61.3,0,22.8
2010-03-29,17,10.8,73.8,0,30.2
2010-03-30,15.8,8.8,67.3,1.772,28.5
2010-03-31,13.9,5.8,72.3,4.753,23.8
2010-04-01,15.5,4.4,71.9,0.054,16.9
2010-04-02,11.8,6,80.8,2.538,32.4
2010-04-03,14.1,3.3,74.2,0,11.2
2010-04-04,12.9,6.6,78.8,21.534,27.3
2010-04-05,14.8,5.8,69.7,0.504,21.3
2010-04-06,17.7,2.7,67,0,27.1
2010-04-07,21,4.4,62.5,0,12.1
2010-04-08,21.8,8.1,64.2,0,13.3
2010-04-09,22.9,8.8,39.6,0,26.9
2010-04-10,15.1,10.2,67.4,0,25
2010-04-11,13.1,8.3,72.9,16.11,34.1
2010-04-12,13,9.1,82.4,11.023,30.6
2010-04-13,16.9,8.1,74.1,0,13.5
2010-04-14,17,6.9,71.7,0.027,23.5
2010-04-15,20.5,6,68.5,0,14.8
2010-04-16,21,10,61.4,0,18
2010-04-17,22.7,8.3,69.8,0,12.1
2010-04-18,25,7.2,66.2,0,11.5
2010-04-19,20.2,10.5,61.1,0,24.6
2010-04-20,15.3,8.3,75.9,3.688,30.8
2010-04-21,13.1,6.9,81.3,2.181,17.7
2010-04-22,18.1,7.9,72.2,0,12.6
2010-04-23,22,7.6,69.3,0,13.6
2010-04-24,24.8,10,66.4,0,11.6
2010-04-25,27.9,10.2,53.5,0,21.6
2010-04-26,24.1,10.5,56,0,23.8
2010-04-27,17.2,10,72.6,1.291,33.8
2010-04-28,13.7,7.9,71.7,0.711,26.7
2010-04-29,18.9,2.9,60.9,0,22.6
2010-04-30,22,8.1,43.9,0,34.6
2010-05-01,26,7.4,56,0,19.8
2010-05-02,27,11,40,0,36.4
2010-05-03,28.9,9.3,54.3,0,24.9
2010-05-04,26.7,9.1,47.3,0,32.8
2010-05-05,22.8,7.4,39.8,0,26.7
2010-05-06,24.1,9.8,27.8,0,32.8
2010-05-07,25.8,5,43.6,0,20.1
2010-05-08,23.1,9.1,56.2,0,24.9
