"datetime","tempmax","tempmin","humidity","precip","windspeed"
2014-01-01,16.6,-0.2,66.5,0,8.2
2014-01-02,18.3,1.7,65.8,0,9.1
2014-01-03,18.1,1.9,67.8,0,8.1
2014-01-04,19.8,1.5,60.6,0,17.4
2014-01-05,18.7,0.6,52.8,0,5.8
2014-01-06,15.9,1.6,59.6,0,7.2
2014-01-07,16.8,2.8,52.8,0,9.7
2014-01-08,13,2.2,82.9,0,9.4
2014-01-09,16,5.9,78.9,0,12.7
2014-01-10,16.8,2,78.8,0,7.6
2014-01-11,13.9,5.5,81.5,0,16.2
2014-01-12,16,2.8,65.8,0,38.3
2014-01-13,16.9,1.4,66.4,0,9.9
2014-01-14,18.6,-0.2,70.6,0,7.9
2014-01-15,19,1.6,68.4,0,5.8
2014-01-16,19.8,0,65.9,0,4.4
2014-01-17,21,0.5,61.4,0,12.3
2014-01-18,20.7,-0.5,61.3,0,5.9
2014-01-19,20.8,0.1,59.6,0,9.7
2014-01-20,20.6,0.5,56.2,0,9.4
2014-01-21,20.8,0.8,55.1,0,14.8
2014-01-22,18.8,-0.4,53.5,0,5.8
2014-01-23,20.9,1.4,51.8,0,8.6
2014-01-24,23.8,5.1,43.5,0,11.9
2014-01-25,22.8,4.7,45.3,0,11.5
2014-01-26,17.9,3.8,54.8,0,9.2
2014-01-27,17.7,2.9,61.5,0,5.9
2014-01-28,20.7,9.1,62.8,0,9.8
2014-01-29,17,11.4,89.8,0.322,19.8
2014-01-30,16.8,10,77.7,1.109,17.3
2014-01-31,16,3.5,63,0.122,24.7
2014-02-01,15,2.3,53.2,0,12.7
2014-02-02,9.6,3.5,70.9,0.932,19.6
2014-02-03,13.9,3.8,71.3,0,13.7
2014-02-04,13.1,0.7,73,0,9.4
2014-02-05,12,0.2,73.7,0.902,12.9
2014-02-06,10.6,6.9,86,8.74,16
2014-02-07,11,8.8,88.3,5.711,30.3
2014-02-08,13.1,10.8,92.5,27.542,29.7
2014-02-09,14.9,13,95.9,20.384,23
2014-02-10,16.9,10.2,89.9,1.297,14.8
2014-02-11,16.1,8.2,92.9,0.049,9.3
2014-02-12,17.1,8.1,82.2,0,18.4
2014-02-13,20.8,11.6,82.9,0,12.7
2014-02-14,18.8,12.7,84.9,0,16.3
2014-02-15,16.8,11,84.1,0,23.5
2014-02-16,18.7,8,66.3,0,19.7
2014-02-17,17.7,2.9,67.7,0,9
2014-02-18,18.1,5.2,70.8,0,12.1
2014-02-19,18.8,9.4,63.3,0,24.7
2014-02-20,20,7.5,50.1,0,22.7
2014-02-21,21.8,4.4,60.8,0,15
2014-02-22,22.7,4.7,61.4,0,12
2014-02-23,21.8,4.8,66.5,0,6
2014-02-24,23.6,6,62.5,0,8.6
2014-02-25,22,5.8,67.5,0,16.6
2014-02-26,16.9,10.7,82.1,10.169,35.2
2014-02-27,18.2,10.8,76.5,1.437,23.7
2014-02-28,14.1,11.6,87,20.224,22.4
2014-03-01,19.1,10.8,66.4,0.012,28.7
2014-03-02,15.6,9,81.5,1.772,21.1
2014-03-03,15,9.2,90.3,2.749,19.1
2014-03-04,16.8,11,87.7,0.496,16.8
2014-03-05,19.1,12,83.6,4.249,18.2
2014-03-06,19,10.8,77.1,2.688,19
2014-03-07,21.7,8.8,65.2,0.052,25.8
2014-03-08,20,5.7,73.9,0,10.5
2014-03-09,19.8,12.9,76.7,0,9.8
2014-03-10,20,11.9,63.2,2.739,24.3
2014-03-11,21.9,9.1,39.9,0,40.3
2014-03-12,24.1,11.3,30.8,0,32.5
2014-03-13,24.8,7.8,44.6,0,16.8
2014-03-14,23.1,9.7,62.2,0,12.1
2014-03-15,26.7,9.8,54.9,0,12.4
2014-03-16,25.7,8.7,58.5,0,16.5
2014-03-17,20,8.8,53.3,0,29.2
2014-03-18,21.8,10.1,35,0,29.6
2014-03-19,23.6,5.6,55.4,0,9.1
2014-03-20,24.8,8,58.3,0,9.6
2014-03-21,23.7,7.1,62,0,17.4
2014-03-22,24.3,6.6,62.5,0,13.5
2014-03-23,24.3,8.3,60.5,0,10.5
2014-03-24,26,6.7,60.8,0,12.6
2014-03-25,17,7.4,67.1,0.296,21.8
2014-03-26,16.7,9.1,80.1,7.695,25.1
2014-03-27,16.5,10.1,74.9,0.222,18.7
2014-03-28,19.2,11.5,70.4,0,19.4
2014-03-29,13.9,10.8,85.9,12.71,14.4
2014-03-30,16.2,4.1,74.8,0,21.7
2014-03-31,13.9,6.8,82.6,4.573,25.6
2014-04-01,11.9,6.9,90.5,31.989,20.3
2014-04-02,16.1,6.1,76.8,0.104,10.4
2014-04-03,17.9,7.7,71.2,0,16.7
2014-04-04,14.7,8.9,79.3,1.283,14.1
2014-04-05,21,5.7,73.7,0,15
2014-04-06,25.8,7.1,67.2,0.049,26.7
2014-04-07,26.6,9.2,66,0,8
2014-04-08,28.1,12,67,0,7.6
2014-04-09,26.2,12.8,65.8,0,13.2
2014-04-10,27.8,8.5,61.3,0,8.9
