"datetime","tempmax","tempmin","humidity","precip","windspeed"
2020-01-01,14.3,5.4,85.7,0,11.2
2020-01-02,17,4.2,78.1,0,19
2020-01-03,15,3.8,83,0,9
2020-01-04,13.6,5.7,89.6,1.736,16.7
2020-01-05,15.1,3.2,80.9,0,16.2
2020-01-06,13.3,3,73.8,0,18.7
2020-01-07,7.7,1.9,94.8,0,13.9
2020-01-08,8.8,5.7,92.8,0,11.1
2020-01-09,11.6,4.3,86.5,10.711,18
2020-01-10,12.2,1.8,80.5,0,15.1
2020-01-11,14.8,4.3,77.5,0.049,14.6
2020-01-12,11.6,1.8,81.7,0,13.9
2020-01-13,13.8,5.5,76.3,0,21
2020-01-14,13.7,4.2,74.5,0.633,18.5
2020-01-15,10.7,1,77.6,0,12.9
2020-01-16,9.2,5.7,80.1,8.44,33.1
2020-01-17,8.2,3.9,89.4,0,14.5
2020-01-18,12,3.8,80.1,0,20.7
2020-01-19,8.3,3.9,89.5,0,7.6
2020-01-20,10.4,5.4,87.8,0,8.5
2020-01-21,13.7,5.9,82,0.889,16.6
2020-01-22,15.5,7.8,86.7,0,10
2020-01-23,13.7,5.8,88.2,0,9
2020-01-24,16.7,8.1,87.1,0,12.7
2020-01-25,14.6,7.4,90.2,1.05,11.8
2020-01-26,18.7,9.1,81.7,5.385,25.1
2020-01-27,17.6,7.4,78.7,0,14.8
2020-01-28,15.6,7.6,83.4,0,15.3
2020-01-29,18.2,5.9,74.4,0,32.3
2020-01-30,17.7,8.4,77.7,0,16.7
2020-01-31,18.3,6.2,81.8,0,8.2
2020-02-01,18.2,5.9,85.9,0,7.6
2020-02-02,14.9,4.3,65.3,0,32.8
2020-02-03,12.1,2.2,46.8,0,38.2
2020-02-04,12.8,1.5,48.1,0,28.2
2020-02-05,16.2,0.7,60.8,0,6.7
2020-02-06,16.9,2.2,64.2,0,6.2
2020-02-07,17.8,2.3,69.7,0,5.8
2020-02-08,17.7,3.8,69.5,0,37.1
2020-02-09,17.2,8.1,37.9,0,44
2020-02-10,22.1,5.6,38.3,0,39.7
2020-02-11,22.9,4,49.1,0,29.1
2020-02-12,18.8,3.8,64.2,0,6.6
2020-02-13,16.8,3.3,74.3,0,16.3
2020-02-14,17.9,3.6,76.8,0,13.2
