datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,tzoffset,events
2020-01-01,1577865600,14.3,5.4,9.0,14.3,4.7,8.7,6.7,85.7,0.0,0.0,0.0,,0.0,0.0,,11.2,0.5,1020.1,22.1,10.0,100.7,8.7,6.0,07:23:45,1577892225,16:55:17,1577926517,0.21,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"['KSMF', 'TS389', '72483023232', '72483993225', '72483323206', 'AN063', 'KSAC']",obs,,
2020-01-02,1577952000,17.0,4.2,9.1,17.0,2.5,8.5,5.0,78.1,0.0,0.0,0.0,,0.0,0.0,,19.0,329.7,1019.9,24.8,9.5,127.4,10.9,6.0,07:23:53,1577978633,16:56:06,1578012966,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['KSMF', 'TS388', 'TS389', '72483023232', '72483993225', 'AN063', '72483323206', 'KSAC', '72057600174']",obs,,
2020-01-03,1578038400,15.0,3.8,8.9,15.0,3.8,8.7,6.0,83.0,0.0,0.0,0.0,,0.0,0.0,,9.0,125.3,1023.6,14.8,9.5,115.2,10.0,5.0,07:23:59,1578065039,16:56:57,1578099417,0.28,Clear,Clear conditions throughout the day.,clear-day,"['KSMF', 'TS389', '72483023232', '72483993225', 'AN063', '72483323206', 'KSAC']",obs,,
2020-01-04,1578124800,13.6,5.7,9.3,13.6,2.8,8.5,7.6,89.6,1.736,100.0,16.67,['rain'],0.0,0.0,,16.7,233.9,1028.2,44.7,7.9,79.4,6.6,3.0,07:24:03,1578151443,16:57:48,1578185868,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"['KSMF', 'TS389', '72483023232', '72483993225', 'AN063', '72483323206', 'KSAC', '72057600174']",obs,,
2020-01-05,1578211200,15.1,3.2,8.4,15.1,1.2,7.8,4.9,80.9,0.0,0.0,0.0,,0.0,0.0,,16.2,348.3,1033.1,36.6,9.5,138.6,11.9,6.0,07:24:04,1578237844,16:58:41,1578272321,0.34,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"['KSMF', 'TS389', '72483023232', '72483993225', '72483323206', 'AN063', 'KSAC']",obs,,
2020-01-06,1578297600,13.3,3.0,7.6,13.3,2.3,6.8,2.9,73.8,0.0,0.0,0.0,,0.0,0.0,,18.7,352.2,1031.5,1.2,15.3,139.9,12.0,6.0,07:24:04,1578324244,16:59:36,1578358776,0.37,Clear,Clear conditions throughout the day.,clear-day,"['KSMF', 'TS389', '72483023232', '72483993225', '72483323206', 'AN063', 'KSAC', '72057600174']",obs,,
2020-01-07,1578384000,7.7,1.9,5.1,5.7,1.5,3.8,4.3,94.8,0.0,0.0,0.0,,0.0,0.0,,13.9,145.2,1022.9,79.1,2.7,70.3,6.0,4.0,07:24:01,1578410641,17:00:31,1578445231,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['KSMF', 'TS389', '72483023232', '72483993225', 'AN063', '72483323206', 'KSAC', '72057600174']",obs,,
2020-01-08,1578470400,8.8,5.7,7.2,7.8,4.2,6.1,6.1,92.8,0.0,0.0,0.0,,0.0,0.0,,11.1,172.0,1019.8,89.4,7.7,46.6,4.1,2.0,07:23:56,1578497036,17:01:28,1578531688,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['KSMF', 'TS389', '72483023232', '72483993225', 'AN063', '72483323206', 'KSAC']",obs,,
2020-01-09,1578556800,11.6,4.3,8.4,11.6,2.4,7.3,6.2,86.5,10.711,100.0,25.0,['rain'],0.0,0.0,,18.0,85.5,1018.5,55.7,11.7,82.5,7.2,4.0,07:23:49,1578583429,17:02:25,1578618145,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"['KSMF', 'TS389', '72483023232', '72483993225', 'AN063', '72483323206', 'KSAC', '72057600174']",obs,,
2020-01-10,1578643200,12.2,1.8,7.0,12.2,0.4,6.2,3.6,80.5,0.0,0.0,0.0,,0.0,0.0,,15.1,155.0,1025.3,56.0,11.6,129.7,11.1,6.0,07:23:40,1578669820,17:03:24,1578704604,0.5,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"['KSMF', 'TS389', '72483023232', '72483993225', '72483323206', 'AN063', 'KSAC', '72057600174']",obs,,
