Incident # ,County ,FireName ,StartDate,EndDate,Acres Burned ,VegType ,Cause ,StructureDest. ,StructureDam. ,FirePersonnelDeath,CivilDeath
FKU-5281 ,FRESNO ,JAYNE ,4/20/17,4/21/17,"4,532",G ,EQUIPMENT USE ,,,,  
FKU-5669 ,FRESNO ,EL DORADO ,4/28/17,4/28/17,750,G ,UNDETERMINED ,,,,  
RRU-53193 ,RIVERSIDE ,OPERA ,4/30/17,5/2/17,"1,350"," B, G ",VEHICLE ,,,,  
MMU-9464 ,MERCED ,WRIGHT ,5/12/17,5/13/17,"1,733",G ,UNDETERMINED ,,,,  
FKU-6727 ,FRESNO ,ELM 2 ,5/18/17,5/21/17,"10,000","B, G ",ELECTRICAL POWER ,,,,  
KRN-18713 ,KERN ,MING ,5/20/17,5/22/17,506,G ,UNDETERMINED ,,,,  
MVU-12098 ,SAN DIEGO ,GATE ,5/20/17,5/22/17,"2,056"," B, G ",UNDETERMINED ,,,,  
TUU-286 ,TULARE ,DINELY ,6/7/17,6/10/17,339,"B, G ",EQUIPMENT USE ,,,,  
MMU-11650 ,MADERA ,OAKWOOD ,6/10/17,6/13/17,"1,417"," B, G ",SHOOTING ,,,,  
FKU-8044 ,FRESNO ,MONTEREY ,6/11/17,6/11/17,450,G ,SHOOTING ,,,,  
LAC-178275 ,LOS ANGELES ,LAKE ,6/17/17,6/23/17,850,"B, G ",UNDETERMINED ,,2,,  
FKU-8759 ,FRESNO ,CREEK ,6/23/17,6/27/17,357,"B, G ",DEBRIS BURNING ,4,,,  
LAC-187296 ,LOS ANGELES ,PLACERITA ,6/25/17,6/28/17,760,"B, G ",DEBRIS BURNING ,1,1,,  
RRU-78840 ,RIVERSIDE ,MANZANITA ,6/26/17,6/30/17,"6,309"," B, G  ",VEHICLE ,,,,  
SLU-7101 ,SAN LUIS OBISPO ,HILL ,6/26/17,6/28/17,"1,626"," B, G  ",VEHICLE ,7,,,  
MMU-13022 ,MARIPOSA ,BEN ,6/28/17,7/6/17,558,"B, G ",VEHICLE,,,,  
KRN-24894 ,KERN ,TARINA ,6/30/17,7/1/17,"1,200",G ,UNDETERMINED ,,,,  
FKU-9289 ,FRESNO ,DERRICK ,7/2/17,7/5/17,"1,562"," B, G ",UNDETERMINED ,,,,  
SKU-4779 ,SISKIYOU ,FAY ,7/5/17,7/31/17,496,"B, G, T ",MISCELLANEOUS ,1,,,  
LNU-6262 ,YOLO ,WINTER ,7/6/17,7/14/17,"1,700"," B, T ",VEHICLE ,,,,  
SLU-7624 ,SAN LUIS OBISPO ,ALAMO ,7/6/17,7/18/17,"28,687"," B, G ",UNDETERMINED ,14,1,,  
BTU-10975 ,BUTTE ,WALL ,7/7/17,8/3/17,"6,033"," B, G ",ELECTRICAL POWER ,91,10,,  
BEU-3551 ,MONTEREY ,PARKFIELD ,7/8/17,7/8/17,"1,816"," B, G ",ELECTRICAL POWER ,,1,,  
FKU-9755 ,KINGS ,GARZA ,7/9/17,7/25/17,"48,660"," B, G ",EQUIPMENT USE ,1,,,  
SLU-7792 ,SAN LUIS OBISPO ,STONE ,7/9/17,7/11/17,340," B, G ",EQUIPMENT USE ,3,,,  
MVU-16909 ,SAN DIEGO ,JENNINGS 2 ,7/11/17,7/14/17,400," B, G  ",VEHICLE ,,,,  
BDU-9854 ,SAN BERNARDINO ,BRIDGE 2  ,7/14/17,7/18/17,460," B, G ",UNDETERMINED ,,,,  
MEU-8307 ,MENDOCINO ,GRADE ,7/16/17,7/18/17,900,"B, G ",VEHICLE ,1,,,  
MMU-14474 ,MARIPOSA ,DETWILER ,7/16/17,8/31/17,"81,826","B, G  ",SHOOTING ,134,21,,  
FKU-10248 ,FRESNO ,PARK ,7/17/17,7/30/17,"1,649","B, G ",EQUIPMENT USE ,,,,  
TUU-420 ,TULARE ,ELEPHANT 2 ,7/20/17,7/21/17,416,G ,ARSON ,,,,  
AEU-21652 ,SACRAMENTO ,LATROBE ,7/26/17,7/28/17,"1,268",G ,DEBRIS BURNING ,,,,  
TCU-9024 ,TOULUMNE ,JACKSONVILLE ,7/29/17,8/4/17,675,"B, G  ",UNDETERMINED ,1,,,  
TUU-441 ,TULARE ,ROADRUNNER ,7/30/17,7/31/17,"2,289",G ,ARSON ,,,,  
BDU-10918 ,SAN BERNARDINO ,BRYANT 2 ,8/3/17,8/14/17,325,"B, G  ",UNDETERMINED ,1,,,  
RRU-99747 ,RIVERSIDE ,BLAINE ,8/13/17,8/16/17,"1,500","B, G ",UNDETERMINED ,,46,,  
RRU-100591 ,RIVERSIDE ,MIAS ,8/14/17,8/18/17,600,"B, G ",ELECTRICAL POWER ,,,,  
BTU-13737 ,BUTTE ,PONDEROSA ,8/29/17,10/28/17,"4,016","B, T ",CAMPFIRE ,55,,,  
NEU-22877 ,NEVADA ,PLEASANT ,8/30/17,9/6/17,392,"B, T ",UNDETERMINED ,1,1,,  
RRU-108660 ,RIVERSIDE ,PALMER ,9/2/17,9/9/17,"3,800","B, G ",PLAYING WITH FIRE ,,1,,  
MMU-18115 ,MADERA ,MISSION ,9/3/17,9/13/17,"1,037","B, T ",ELECTRICAL POWER ,7,4,,  
MMU-18116 ,MADERA ,PEAK ,9/3/17,9/9/17,680,"B, T ",VEHICLE ,4,,,  
SHU-9460 ,SHASTA ,BERRY ,9/12/17,10/4/17,900,B ,LIGHTNING ,,,,  
MMU-19222 ,MADERA ,EASTMAN ,9/18/17,9/19/17,483,G ,ELECTRICAL POWER ,,,,  
SBC-12621 ,SANTA BARBARA ,RUCKER ,9/29/17,10/4/17,444,"B, G ",MISCELLANEOUS ,,,,  
ORC-1478 ,ORANGE ,CANYON ,9/25/17,10/3/17,"2,662","B, G  ",MISCELLANEOUS,,7,,  
BTU-15933 ,BUTTE ,CHEROKEE ,10/8/17,11/5/17,"8,500","B, G ",ELECTRICAL POWER ,6,1,,  
NEU-26269 ,YUBA ,CASCADE (NEU WIND COMPLEX)* ,10/8/17,10/19/17,"9,989","B, T ",ELECTRICAL POWER ,264,10,,4
NEU-26279 ,NEVADA ,MCCOURTNEY (NEU WIND COMPLEX) ,10/8/17,10/21/17,76,"B, T ",ELECTRICAL POWER ,13,2,,  
NEU-26275 ,NEVADA ,LOBO (NEU WIND COMPLEX) ,10/8/17,10/22/17,821,"B, T ",ELECTRICAL POWER ,47,2,,  
LNU-10045 ,NAPA ,TUBBS (CENTRAL LNU COMPLEX) ,10/8/17,10/31/17,"36,807","B, G, T ",ELECTRICAL POWER ,"5,636",317,1,21
LNU-10049 ,SONOMA ,NUNS (CENTRAL LNU COMPLEX) ,10/9/17,10/31/17,"44,573","B, G, T ",ELECTRICAL POWER ,"1,355",172,,3
LNU-10050 ,SONOMA ,ADOBE (CENTRAL LNU COMPLEX - NUNS) ,10/8/17,10/31/17,"3,700","B, G, T ",ELECTRICAL POWER ,,,, 
LNU-10051 ,NAPA ,PARTRICK (CENTRAL LNU COMPLEX - NUNS) ,10/8/17,10/31/17,"8,283","B, G, T ",ELECTRICAL POWER ,,,, 
MEU-12169 ,MENDOCINO ,REDWOOD VALLEY  ,10/8/17,10/26/17,"36,523","G, T ",ELECTRICAL POWER ,543,41,,9
,,(MENDOCINO LAKE COMPLEX) ,,,,,,,,,
MRN-2957 ,MARIN ,THIRTY SEVEN ,10/9/17,10/12/17,"1,660","B, G ",ELECTRICAL POWER ,3,1,,  
BTU-15954 ,BUTTE ,LA PORTE (NEU WIND COMPLEX) ,10/9/17,10/20/17,"6,151","B, T ",ELECTRICAL POWER ,74,2,,  
ORC-110494 ,ORANGE ,CANYON 2 ,10/9/17,10/17/17,"9,217","B, G ",MISCELLANEOUS ,25,55,,  
LNU-10046 ,NAPA ,ATLAS (SOUTHERN LNU COMPLEX) ,10/9/17,10/28/17,"51,624","B, G, T ",ELECTRICAL POWER ,783,120,,6
LNU-10055 ,LAKE ,SULPHUR  ,10/9/17,10/26/17,"2,207","G, T ",ELECTRICAL POWER ,162,8,,  
,,(MENDOCINO LAKE COMPLEX) ,,,,,,,,,
LNU-10057 ,SONOMA ,POCKET 2 (CENTRAL LNU COMPLEX) ,10/9/17,10/31/17,"17,357","B, G, T ",ELECTRICAL POWER ,6,2,,  
CZU-7822 ,SANTA CRUZ ,BEAR ,10/16/17,10/29/17,391,T ,ARSON ,6,,,  
VNC-43244 ,VENTURA/SANTA BARBARA ,THOMAS ,12/4/17,1/12/18,"281,893","B, G ",UNDETERMINED ,"1,060",274,1,1
LAC-362189 ,LOS ANGELES ,CREEK ,12/5/17,12/29/17,"15,619",B ,UNDETERMINED ,123,81,,  
LAC-362441 ,LOS ANGELES ,RYE ,12/5/17,12/15/17,"6,049","B, G ",UNDETERMINED ,6,3,,  
MVU-24612 ,SAN DIEGO ,LILAC 5 ,12/7/17,12/16/17,"4,088","B, G ",UNDETERMINED ,157,64,,  
