Incident # ,County ,FireName ,StartDate,EndDate,Acres Burned ,VegType ,Cause ,StructureDest. ,StructureDam. ,FirePersonnelDeath,CivilDeath
HUU-81 ,HUMBOLDT ,RED ,1/4/14,1/12/14,333,"T,B ",DEBRIS BURNING ,  ,  ,  ,  
RRU-27677 ,RIVERSIDE ,PIERCE ,3/15/14,3/16/14,350,"B,G ",ARSON ,  ,  ,  ,  
MVU-10055 ,SAN DIEGO ,BERNARDO ,5/13/14,5/21/14,"1,548","B,G ",EQUIPMENT USE ,  ,  ,  ,  
MVU-10242 ,SAN DIEGO ,SAN DIEGO COMPLEX ,5/14/14,5/22/14,"2,438",B ,UNDETERMINED ,48,5,  ,  
MMU-8974 ,MARIPOSA ,HUNTER ,5/26/14,6/4/14,677,B ,UNDETERMINED ,3,  ,  ,  
TCU-4987 ,TUOLUMNE ,59,6/4/14,6/9/14,402,G ,VEHICLE ,  ,  ,  ,  
MMU-10597 ,MERCED ,GUN CLUB ,6/19/14,6/19/14,400,G ,DEBRIS BURNING ,  ,  ,  ,  
LNU-5333 ,NAPA ,BUTTS ,7/1/14,7/10/14,"4,300",G ,EQUIPMENT USE ,9,  ,  ,  
LNU-5465 ,YOLO ,MONTICELLO ,7/4/14,7/13/14,"6,488",G ,HUMAN ,  ,  ,  ,  
SHU-6248 ,SHASTA ,BULLY ,7/11/14,7/23/14,"12,661",G ,VEHICLE ,18,1,  ,1
MMU-12965 ,MERCED ,GUN CLUB ,7/24/14,8/2/14,422,G ,HUMAN ,  ,  ,  ,  
AEU-18237 ,EL DORADO ,SAND ,7/25/14,8/3/14,"4,240",T ,VEHICLE ,47,  ,  ,  
MMU-13131 ,MERCED ,KELLEY ,7/26/14,7/26/14,"1,000","G,W ",UNDETERMINED ,  ,  ,  ,  
BTU-10700 ,BUTTE ,WEB ,7/29/14,8/27/14,378,"T,B ",EQUIPMENT USE ,  ,  ,  ,  
LMU-3472 ,MODOC ,DAY ,7/30/14,8/13/14,"13,153","T,B ",LIGHTNING ,10,  ,  ,  
MEU-7202 ,MENDOCINO ,LODGE COMPLEX ,7/30/14,9/21/14,"12,535",T ,LIGHTNING ,  ,  ,  ,  
LNU-6737 ,YOLO ,THIRTY ONE 2 ,8/9/14,8/9/14,370,G ,VEHICLE ,  ,  ,  ,  
MMU-14633 ,MADERA ,JUNCTION ,8/18/14,8/25/14,612,B ,UNDETERMINED ,47,6,  ,  
SHU-7763 ,TRINITY ,OREGON ,8/24/14,8/30/14,461,"B,G ",VEHICLE ,1,  ,  ,  
SHU-8322 ,SHASTA ,GULCH ,9/10/14,9/15/14,"1,300",B ,VEHICLE ,4,  ,  ,  
MEU-8882 ,MENDOCINO ,BLACK ,9/13/14,9/17/14,403,B ,EQUIPMENT USE ,11,  ,  ,  
MMU-16429 ,MADERA ,COURTNEY ,9/14/14,9/22/14,320,B ,UNDETERMINED ,49,7,  ,  
BTU-13428 ,BUTTE ,NELSON ,9/18/14,9/21/14,500,G ,ELECTRICAL POWER ,  ,  ,  ,  
NEU-23454 ,PLACER ,APPLEGATE ,10/8/14,10/22/14,459,"T,B ",UNDETERMINED ,10,  ,  ,  
