Incident # ,County ,FireName ,StartDate,EndDate,Acres Burned ,VegType ,Cause ,StructureDest. ,StructureDam. ,FirePersonnelDeath,CivilDeath
BDU-1662 ,INYO ,ROUND ,2/6/15,2/13/15,"7,000",B ,UNDETERMINED ,43,5, , 
RRU-44605 ,RIVERSIDE ,HIGHWAY ,4/18/15,4/24/15,"1,049","T,G ",EQUIPMENT , , , , 
MMU-8812 ,MERCED ,FOREBAY ,5/11/15,5/12/15,692,G ,VEHICLE   , , , , 
MMU-11662 ,MADERA ,CORRINE ,6/18/15,6/24/15,920,"T,B,G ",ELECTRICAL POWER ,2, , , 
SLU-6113 ,SAN LUIS OBISPO ,PARKHILL ,6/20/15,6/20/15,"1,791",B ,VEHICLE ,18,3, , 
AEU-17193 ,SACRAMENTO ,IONE ,7/2/15,7/5/15,357,G ,ARSON   , , , , 
SKU-5078 ,SISKIYOU ,YORK ,7/4/15,7/6/15,395,G ,LIGHTNING   , , , , 
MMU-13970 ,MERCED ,MCCABE ,7/18/15,7/22/15,"1,600",G ,LIGHTNING   , , , , 
TUU-383 ,TULARE ,TRIPLE 3 ,7/21/15,7/21/15,430,G ,LIGHTNING   , , , , 
LNU-6678 ,NAPA ,WRAGG ,7/22/15,8/6/15,"8,051",B ,VEHICLE ,2,5, , 
NEU-17851 ,NEVADA ,LOWELL ,7/25/15,8/12/15,"2,304","T,G ",UNDETERMINED ,3,1, , 
BTU-10917 ,BUTTE ,SWEDES ,7/29/15,8/16/15,400,B ,DEBRIS BURNING ,16, , , 
LNU-6984 ,LAKE ,ROCKY ,7/29/15,8/14/15,"69,636","T,B,G ",EQUIPMENT ,96,8, , 
HUU-5606 ,HUMBOLDT ,HUMBOLDT COMPLEX ,7/30/15,8/21/15,"4,883",T ,LIGHTNING   ,7,   , , 
MMU-14907 ,MERCED ,CREEK ,7/31/15,7/31/15,"1,450",G ,VEHICLE   , , , , 
LNU-7410 ,LAKE ,JERUSALEM ,8/9/15,8/25/15,"25,118",B ,UNDETERMINED ,27, , , 
RRU-90069 ,RIVERSIDE ,ANZA ,8/10/15,8/15/15,500,B ,HUMAN , , , , 
SLU-8555 ,SAN LUIS OBISPO ,CUESTA ,8/16/15,9/3/15,"2,446",G ,VEHICLE ,1, , , 
SCU-5524 ,ALAMEDA ,TESLA ,8/19/15,8/25/15,"2,850",G ,UNDETERMINED ,1, , , 
LNU-8268 ,LAKE ,ELK ,9/2/15,9/6/15,700,B ,EQUIPMENT , , , , 
AEU-24918 ,AMADOR ,BUTTE ,9/9/15,10/23/15,"70,868","T,B,G ",ELECTRICAL POWER ,965, , ,2
BTU-13363 ,BUTTE ,LUMPKIN ,9/11/15,9/21/15,"1,040","T,B ",ARSON   , , , , 
LNU-8670 ,LAKE ,VALLEY ,9/12/15,10/15/15,"76,067","T,B,G ",ELECTRICAL POWER ,"1,958",93, ,4
BEU-4217 ,MONTEREY ,TASSAJARA ,9/19/15,9/29/15,"1,086",B ,UNDETERMINED ,20,1, , 
BTU-14554 ,BUTTE ,MERIDIAN ,10/3/15,10/4/15,860,G ,EQUIPMENT   , , , , 
BEU-4582 ,SAN BENITO ,CIENEGA ,10/12/15,10/16/15,690,"T,B ",ELECTRICAL POWER , , , , 
