datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,tzoffset
2008-01-01,1199174400,12.6,-0.8,5.0,12.6,-0.8,4.6,1.7,81.4,0.0,0.0,0.0,,0.0,0.0,,15.0,341.9,1025.2,7.0,11.1,,,,07:23:46,1199201026,16:55:14,1199235314,0.78,Clear,Clear conditions throughout the day.,clear-day,"['72482893241', '72483023232', '72483993225', '72483323206']",obs,
2008-01-02,1199260800,13.2,-0.5,5.1,13.2,-0.5,5.1,1.5,80.2,0.0,0.0,0.0,,0.0,0.0,,5.9,168.5,1019.2,6.7,9.3,,,,07:23:54,1199287434,16:56:02,1199321762,0.82,Clear,Clear conditions throughout the day.,clear-day,"['72482893241', '72483023232', '72483993225', '72483323206']",obs,
2008-01-03,1199347200,11.6,3.5,8.1,11.6,2.8,7.4,4.6,79.4,6.487,100.0,41.67,['rain'],0.0,0.0,57.2,30.9,132.4,1014.2,60.4,10.0,,,,07:24:00,1199373840,16:56:53,1199408213,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['72482893241', '72483023232', '72483993225', '72483323206']",obs,
2008-01-04,1199433600,12.1,8.8,10.0,12.1,3.6,8.5,7.4,84.2,42.789,100.0,75.0,['rain'],0.0,0.0,109.2,63.7,153.4,1002.3,83.0,10.6,,,,07:24:04,1199460244,16:57:44,1199494664,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['72482893241', '72483023232', '72483993225', '72483323206']",obs,
2008-01-05,1199520000,10.0,6.1,7.4,10.0,3.1,4.8,5.1,85.5,11.68,100.0,33.33,['rain'],0.0,0.0,70.2,22.2,159.8,1007.8,51.4,14.7,,,,07:24:06,1199546646,16:58:37,1199581117,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['72482893241', '72483023232', '72483993225', '72483323206']",obs,
2008-01-06,1199606400,11.0,5.1,7.7,11.0,2.6,6.3,4.5,81.1,0.0,0.0,0.0,,0.0,0.0,,18.3,160.4,1011.6,50.0,16.0,,,,07:24:06,1199633046,16:59:31,1199667571,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72482893241', '72483023232', '72483993225', '72483323206']",obs,
2008-01-07,1199692800,11.2,5.5,7.7,11.2,3.3,6.9,3.7,77.2,0.0,0.0,0.0,,0.0,0.0,,11.8,183.4,1018.3,33.0,15.8,,,,07:24:03,1199719443,17:00:27,1199754027,0.98,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"['72482893241', '72483023232', '72483993225', '72483323206']",obs,
2008-01-08,1199779200,8.9,5.9,7.5,7.0,2.5,4.8,4.6,81.6,7.783,100.0,45.83,['rain'],0.0,0.0,58.2,34.7,149.5,1019.9,97.1,13.2,,,,07:23:59,1199805839,17:01:23,1199840483,0.0,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"['72482893241', '72483023232', '72483993225', '72483323206']",obs,
2008-01-09,1199865600,9.9,7.1,8.3,9.5,6.1,7.6,6.7,89.8,0.059,100.0,8.33,['rain'],0.0,0.0,,13.7,279.3,1024.6,98.3,9.7,,,,07:23:52,1199892232,17:02:21,1199926941,0.05,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"['72482893241', '72483023232', '72483993225', '72483323206']",obs,
2008-01-10,1199952000,11.0,7.7,9.2,11.0,5.9,8.9,8.0,92.4,2.641,100.0,50.0,['rain'],0.0,0.0,,13.3,131.8,1024.4,100.0,6.3,,,,07:23:43,1199978623,17:03:19,1200013399,0.08,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"['72482893241', '72483023232', '72483993225', '72483323206']",obs,
2008-01-11,1200038400,11.0,9.1,9.7,11.0,8.2,9.5,8.2,90.4,0.007,100.0,4.17,['rain'],0.0,0.0,,11.2,323.4,1024.3,99.8,10.0,,,,07:23:32,1200065012,17:04:19,1200099859,0.12,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"['72482893241', '72483023232', '72483993225', '72483323206']",obs,
2008-01-12,1200124800,12.3,7.7,9.5,12.3,6.6,9.2,7.4,86.8,0.293,100.0,4.17,['rain'],0.0,0.0,,15.1,320.5,1025.5,72.8,15.2,,,,07:23:19,1200151399,17:05:20,1200186320,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"['72482893241', '72483023232', '72483993225', '72483323206']",obs,
