datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,tzoffset
2001-01-01,978336000,14.3,0.7,5.3,14.3,-2.2,4.7,3.3,89.2,0.0,0.0,0.0,,0.0,0.0,,11.2,292.3,1022.7,28.6,2.7,,,,07:23:52,978362632,16:55:48,978396948,0.24,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72483023232', '72492023237']",obs,
2001-01-02,978422400,11.7,0.1,4.3,11.7,0.1,4.3,3.6,95.9,0.0,0.0,0.0,,0.0,0.0,,9.3,201.1,1027.3,13.5,1.5,,,,07:23:59,978449039,16:56:38,978483398,0.25,Clear,Clear conditions throughout the day.,clear-day,"['72483023232', '72492023237']",obs,
2001-01-03,978508800,15.6,0.0,5.8,15.6,-1.8,5.3,3.0,85.2,0.0,0.0,0.0,,0.0,0.0,,7.6,128.1,1029.1,14.8,4.0,,,,07:24:03,978535443,16:57:29,978569849,0.3,Clear,Clear conditions throughout the day.,clear-day,"['72483023232', '72492023237']",obs,
2001-01-04,978595200,16.1,-0.6,6.3,16.1,-0.6,6.2,2.3,79.6,0.0,0.0,0.0,,0.0,0.0,,14.7,348.2,1024.8,8.3,7.4,,,,07:24:06,978621846,16:58:22,978656302,0.33,Clear,Clear conditions throughout the day.,clear-day,"['72483023232', '72492023237']",obs,
2001-01-05,978681600,16.6,-1.6,6.0,16.6,-4.5,5.1,2.3,81.0,0.0,0.0,0.0,,0.0,0.0,,9.4,104.2,1020.7,13.8,6.1,,,,07:24:06,978708246,16:59:16,978742756,0.37,Clear,Clear conditions throughout the day.,clear-day,"['72483023232', '72492023237']",obs,
2001-01-06,978768000,15.0,1.7,6.7,15.0,0.6,6.4,3.4,81.7,0.0,0.0,0.0,,0.0,0.0,,11.0,333.3,1018.0,0.0,6.1,,,,07:24:04,978794644,17:00:11,978829211,0.4,Clear,Clear conditions throughout the day.,clear-day,"['72483023232', '72492023237']",obs,
2001-01-07,978854400,11.7,1.0,6.5,11.7,1.0,6.3,3.8,84.0,0.0,0.0,0.0,,0.0,0.0,,7.6,344.2,1013.9,21.5,3.5,,,,07:24:01,978881041,17:01:07,978915667,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72483023232', '72492023237']",obs,
2001-01-08,978940800,11.7,7.9,9.4,11.7,5.7,8.4,8.3,93.0,27.368,100.0,66.67,['rain'],0.0,0.0,,16.6,142.3,1012.8,96.7,5.0,,,,07:23:54,978967434,17:02:04,979002124,0.47,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"['72483023232', '72492023237']",obs,
2001-01-09,979027200,11.1,3.1,8.2,11.1,1.0,7.0,6.4,89.3,0.297,100.0,4.17,['rain'],0.0,0.0,,22.3,162.7,1015.2,71.3,9.8,,,,07:23:46,979053826,17:03:02,979088582,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"['72483023232', '72492023237']",obs,
2001-01-10,979113600,10.7,7.1,9.3,10.7,4.3,7.9,7.2,86.3,23.309,100.0,50.0,['rain'],0.0,0.0,,42.5,143.1,1007.6,59.2,9.8,,,,07:23:36,979140216,17:04:02,979175042,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['72483023232', '72492023237']",obs,
